John Carmack,Famous Game Programmer
Tony Haworth,Professor at Fanshawe College
acres,hint
adult,hint
advice,hint
arrangement,hint
attempt,hint
August,hint
Autumn,hint
border,hint
breeze,hint
brick,hint
calm,hint
canal,hint
Casey,hint
cast,hint
chose,hint
claws,hint
coach,hint
constantly,hint
contrast,hint
cookies,hint
customs,hint
damage,hint
Danny,hint
deeply,hint
depth,hint
discussion,hint
doll,hint
donkey,hint
Egypt,hint
Ellen,hint
essential,hint
exchange,hint
exist,hint
explanation,hint
facing,hint
film,hint
finest,hint
fireplace,hint
floating,hint
folks,hint
fort,hint
